MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,DCB518ASTS06G,,,,DCB518ASTS06G,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",FREUD®,FREUD®,FREUD®,FREUD,FREUD,FREUD®,FREUD®,DCB518ASTS06G,,,"FREUD®, Sanding Belt, DCB518ASTS06G, 1/2 inx18 - Commercial Grade Sanding Belt",SANDING BELT 1/2 INX18 6 PK,"FREUD®, DCB518ASTS06G, Sanding Belt, 1/2 inx18",The FREUD® DCB518ASTS06G is a commercial-grade sanding belt designed for professional and industrial applications. Engineered with measuring 1/2 inx18. Key Specifications include PackQuantity: 6 PK.,FREUD® DCB518ASTS06G Sanding Belt (1/2 inx18),The FREUD® DCB518ASTS06G is a commercial-grade sanding belt designed for professional and industrial applications. Engineered with measuring 1/2 inx18. Key Specifications include PackQuantity: 6 PK.,Precision dimensions: 1/2 inx18,,,,,,,,,,,,,,,,,,,,,,,,,FREUD® DCB518ASTS06G Sanding Belt (1/2 inx18),Dimensions,1/2 inx18,in,Item Type,Sanding Belt,,PackQuantity,6 PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,Yes
,,,,,,3MABR-7100075678,,,,3MABR-7100075678,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,3MABR-7100075678,,,"Jam Industrial Supply LLC, Abrasive Disc, 3MABR-7100075678, P150",ABRASIVE DISC P150 50 PK,"Jam Industrial Supply LLC, 3MABR-7100075678, Abrasive Disc",The Jam Industrial Supply LLC 3MABR-7100075678 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P150; PackQuantity: 50 PK.,Jam Industrial Supply LLC 3MABR-7100075678 Abrasive Disc,The Jam Industrial Supply LLC 3MABR-7100075678 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P150; PackQuantity: 50 PK.,,,,,,,,,,,,,,,,,,,,,,,,,,Jam Industrial Supply LLC 3MABR-7100075678 Abrasive Disc,Item Type,Abrasive Disc,,Grit,P150,,PackQuantity,50 PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,Yes
,,,,,,3MABR-7100045865,,,,3MABR-7100045865,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,3MABR-7100045865,,,"Jam Industrial Supply LLC, Abrasive Disc, 3MABR-7100045865, P120",ABRASIVE DISC P120 50 PK,"Jam Industrial Supply LLC, 3MABR-7100045865, Abrasive Disc",The Jam Industrial Supply LLC 3MABR-7100045865 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P120; PackQuantity: 50 PK.,Jam Industrial Supply LLC 3MABR-7100045865 Abrasive Disc,The Jam Industrial Supply LLC 3MABR-7100045865 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P120; PackQuantity: 50 PK.,,,,,,,,,,,,,,,,,,,,,,,,,,Jam Industrial Supply LLC 3MABR-7100045865 Abrasive Disc,Item Type,Abrasive Disc,,Grit,P120,,PackQuantity,50 PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,Yes
,,,,,,3MABR-7100048736,,,,3MABR-7100048736,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,3MABR-7100048736,,,"Jam Industrial Supply LLC, Abrasive Disc, 3MABR-7100048736, P80",ABRASIVE DISC P80 50 PK,"Jam Industrial Supply LLC, 3MABR-7100048736, Abrasive Disc",The Jam Industrial Supply LLC 3MABR-7100048736 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P80; PackQuantity: 50 PK.,Jam Industrial Supply LLC 3MABR-7100048736 Abrasive Disc,The Jam Industrial Supply LLC 3MABR-7100048736 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P80; PackQuantity: 50 PK.,,,,,,,,,,,,,,,,,,,,,,,,,,Jam Industrial Supply LLC 3MABR-7100048736 Abrasive Disc,Item Type,Abrasive Disc,,Grit,P80,,PackQuantity,50 PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,Yes
,,,,,,3MABR-7100075690,,,,3MABR-7100075690,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,3MABR-7100075690,,,"Jam Industrial Supply LLC, Abrasive Disc, 3MABR-7100075690, P180",ABRASIVE DISC P180 50 PK,"Jam Industrial Supply LLC, 3MABR-7100075690, Abrasive Disc",The Jam Industrial Supply LLC 3MABR-7100075690 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P180; PackQuantity: 50 PK.,Jam Industrial Supply LLC 3MABR-7100075690 Abrasive Disc,The Jam Industrial Supply LLC 3MABR-7100075690 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P180; PackQuantity: 50 PK.,,,,,,,,,,,,,,,,,,,,,,,,,,Jam Industrial Supply LLC 3MABR-7100075690 Abrasive Disc,Item Type,Abrasive Disc,,Grit,P180,,PackQuantity,50 PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,Yes
,,,,,,3MABR-7100075692,,,,3MABR-7100075692,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,3MABR-7100075692,,,"Jam Industrial Supply LLC, Abrasive Disc, 3MABR-7100075692, P220",ABRASIVE DISC P220 50 PK,"Jam Industrial Supply LLC, 3MABR-7100075692, Abrasive Disc",The Jam Industrial Supply LLC 3MABR-7100075692 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P220; PackQuantity: 50 PK.,Jam Industrial Supply LLC 3MABR-7100075692 Abrasive Disc,The Jam Industrial Supply LLC 3MABR-7100075692 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P220; PackQuantity: 50 PK.,,,,,,,,,,,,,,,,,,,,,,,,,,Jam Industrial Supply LLC 3MABR-7100075692 Abrasive Disc,Item Type,Abrasive Disc,,Grit,P220,,PackQuantity,50 PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,Yes
,,,,,,3MABR-7100145365,,,,3MABR-7100145365,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,Jam Industrial Supply LLC,3MABR-7100145365,,,"Jam Industrial Supply LLC, Abrasive Disc, 3MABR-7100145365, P320",ABRASIVE DISC P320 50 PK,"Jam Industrial Supply LLC, 3MABR-7100145365, Abrasive Disc",The Jam Industrial Supply LLC 3MABR-7100145365 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P320; PackQuantity: 50 PK.,Jam Industrial Supply LLC 3MABR-7100145365 Abrasive Disc,The Jam Industrial Supply LLC 3MABR-7100145365 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P320; PackQuantity: 50 PK.,,,,,,,,,,,,,,,,,,,,,,,,,,Jam Industrial Supply LLC 3MABR-7100145365 Abrasive Disc,Item Type,Abrasive Disc,,Grit,P320,,PackQuantity,50 PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,Yes
,,,,,,5B-332-080,,,,5B-332-080,5B-332-080,"5B-332-080 HIOLIT 5"" P80",MIRKA®,MIRKA®,MIRKA®,MIRKA,MIRKA,MIRKA®,MIRKA®,5B-332-080,,,"MIRKA®, Abrasive Disc, 5B-332-080, P80 - Commercial Grade Abrasive Disc",ABRASIVE DISC P80,"MIRKA®, 5B-332-080, Abrasive Disc",The MIRKA® 5B-332-080 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P80.,MIRKA® 5B-332-080 Abrasive Disc,The MIRKA® 5B-332-080 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P80.,,,,,,,,,,,,,,,,,,,,,,,,,,MIRKA® 5B-332-080 Abrasive Disc,Item Type,Abrasive Disc,,Grit,P80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,Yes
,,,,,,5B-332-120,,,,5B-332-120,5B-332-120,"5B-332-120 HIOLIT 5"" P120",MIRKA®,MIRKA®,MIRKA®,MIRKA,MIRKA,MIRKA®,MIRKA®,5B-332-120,,,"MIRKA®, Abrasive Disc, 5B-332-120, P120 - Commercial Grade Abrasive Disc",ABRASIVE DISC P120,"MIRKA®, 5B-332-120, Abrasive Disc",The MIRKA® 5B-332-120 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P120.,MIRKA® 5B-332-120 Abrasive Disc,The MIRKA® 5B-332-120 is a commercial-grade abrasive disc designed for professional and industrial applications. Key Specifications include Grit: P120.,,,,,,,,,,,,,,,,,,,,,,,,,,MIRKA® 5B-332-120 Abrasive Disc,Item Type,Abrasive Disc,,Grit,P120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,Yes
,,,,,,9A-570-240,,,,9A-570-240,9A-570-240,9A-570-240 Abranet 2.75x30,MIRKA®,MIRKA®,MIRKA®,MIRKA,MIRKA,MIRKA®,MIRKA®,9A-570-240,,,"MIRKA®, Abrasive Disc, 9A-570-240, 2-3/4x30 - Commercial Grade Abrasive Disc",ABRASIVE DISC 2-3/4X30,"MIRKA®, 9A-570-240, Abrasive Disc, 2-3/4x30",The MIRKA® 9A-570-240 is a commercial-grade abrasive disc designed for professional and industrial applications. Engineered with measuring 2-3/4x30. Key Specifications include Amperage: 9 A.,MIRKA® 9A-570-240 Abrasive Disc (2-3/4x30),The MIRKA® 9A-570-240 is a commercial-grade abrasive disc designed for professional and industrial applications. Engineered with measuring 2-3/4x30. Key Specifications include Amperage: 9 A.,Precision dimensions: 2-3/4x30,,,,,,,,,,,,,,,,,,,,,,,,,MIRKA® 9A-570-240 Abrasive Disc (2-3/4x30),Dimensions,2-3/4x30,in,Item Type,Abrasive Disc,,Amperage,9,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,Yes
